1		02/05/10		42.31 		2.572
1		02/12/10		38.51 		2.548
1		02/19/10		39.93 		2.514
1		02/26/10		46.63 		2.561
1		03/05/10		46.50 		2.625
1		03/12/10		57.79 		2.667
1		03/19/10		54.58 		2.72
1		03/26/10		51.45 		2.732
1		04/02/10		62.27 		2.719
1		04/09/10		65.86 		2.77
1		04/16/10		66.32 		2.808
1		04/23/10		64.84 		2.795
1		04/30/10		67.41 		2.78
1		05/07/10		72.55 		2.835
1		05/14/10		74.78 		2.854
1		05/21/10		76.44 		2.826
1		05/28/10		80.44 		2.759
1		06/04/10		80.69 		2.705
1		06/11/10		80.43 		2.668
1		06/18/10		84.11 		2.637
1		06/25/10		84.34 		2.653
1		07/02/10		80.91 		2.669
1		07/09/10		80.48 		2.642
1		07/16/10		83.15 		2.623
1		07/23/10		83.36 		2.608
1		07/30/10		81.84 		2.64
1		08/06/10		87.16 		2.627
1		08/13/10		87.00 		2.692
1		08/20/10		86.65 		2.664
1		08/27/10		85.22 		2.619
1		09/03/10		81.21 		2.577
1		09/10/10		78.69 		2.565
1		09/17/10		82.11 		2.582
1		09/24/10		80.94 		2.624
1		10/01/10		71.89 		2.603
1		10/08/10		63.93 		2.633
1		10/15/10		67.18 		2.72
1		10/22/10		69.86 		2.725
1		10/29/10		69.64 		2.716
1		11/05/10		58.74 		2.689
1		11/12/10		59.61 		2.728
1		11/19/10		51.41 		2.771
1		11/26/10		64.52 		2.735
1		12/03/10		49.27 		2.708
1		12/10/10		46.33 		2.843
1		12/17/10		49.84 		2.869
1		12/24/10		52.33 		2.886
1		12/31/10		48.43 		2.943
1		01/07/11		48.27 		2.976
1		01/14/11		35.40 		2.983
1		01/21/11		44.04 		3.016
1		01/28/11		43.83 		3.01
1		02/04/11		42.27 		2.989
1		02/11/11		36.39 		3.022
1		02/18/11		57.36 		3.045
1		02/25/11		62.90 		3.065
1		03/04/11		59.58 		3.288
1		03/11/11		53.56 		3.459
1		03/18/11		62.76 		3.488
1		03/25/11		69.97 		3.473
1		04/01/11		59.17 		3.524
1		04/08/11		67.84 		3.622
1		04/15/11		71.27 		3.743
1		04/22/11		72.99 		3.807
1		04/29/11		72.03 		3.81
1		05/06/11		64.61 		3.906
1		05/13/11		75.64 		3.899
1		05/20/11		67.63 		3.907
1		05/27/11		77.72 		3.786
1		06/03/11		83.00 		3.699
1		06/10/11		83.13 		3.648
1		06/17/11		86.41 		3.637
1		06/24/11		83.58 		3.594
1		07/01/11		85.55 		3.524
1		07/08/11		85.83 		3.48
1		07/15/11		88.54 		3.575
1		07/22/11		85.77 		3.651
1		07/29/11		86.83 		3.682
1		08/05/11		91.65 		3.684
1		08/12/11		90.76 		3.638
1		08/19/11		89.94 		3.554
1		08/26/11		87.96 		3.523
1		09/02/11		87.83 		3.533
1		09/09/11		76.00 		3.546
1		09/16/11		79.94 		3.526
1		09/23/11		75.80 		3.467
1		09/30/11		79.69 		3.355
1		10/07/11		69.31 		3.285
1		10/14/11		71.74 		3.274
1		10/21/11		63.71 		3.353
1		10/28/11		66.57 		3.372
1		11/04/11		54.98 		3.332
1		11/11/11		59.11 		3.297
1		11/18/11		62.25 		3.308
1		11/25/11		60.14 		3.236
1		12/02/11		48.91 		3.172
1		12/09/11		43.93 		3.158
1		12/16/11		51.63 		3.159
1		12/23/11		47.96 		3.112
1		12/30/11		44.55 		3.129
1		01/06/12		49.01 		3.157
1		01/13/12		48.53 		3.261
1		01/20/12		54.11 		3.268
1		01/27/12		54.26 		3.29
1		02/03/12		56.55 		3.36
1		02/10/12		48.02 		3.409
1		02/17/12		45.32 		3.51
1		02/24/12		57.25 		3.555
1		03/02/12		60.96 		3.63
1		03/09/12		58.76 		3.669
1		03/16/12		64.74 		3.734
1		03/23/12		65.93 		3.787
1		03/30/12		67.61 		3.845
1		04/06/12		70.43 		3.891
1		04/13/12		69.07 		3.891
1		04/20/12		66.76 		3.877
1		04/27/12		67.23 		3.814
1		05/04/12		75.55 		3.749
1		05/11/12		73.77 		3.688
1		05/18/12		70.33 		3.63
1		05/25/12		77.22 		3.561
1		06/01/12		77.95 		3.501
1		06/08/12		78.30 		3.452
1		06/15/12		79.35 		3.393
1		06/22/12		78.39 		3.346
1		06/29/12		84.88 		3.286
1		07/06/12		81.57 		3.227
1		07/13/12		77.12 		3.256
1		07/20/12		80.42 		3.311
1		07/27/12		82.66 		3.407
1		08/03/12		86.11 		3.417
1		08/10/12		85.05 		3.494
1		08/17/12		84.85 		3.571
1		08/24/12		77.66 		3.62
1		08/31/12		80.49 		3.638
1		09/07/12		83.96 		3.73
1		09/14/12		74.97 		3.717
1		09/21/12		69.87 		3.721
1		09/28/12		76.08 		3.666
1		10/05/12		68.55 		3.617
1		10/12/12		62.99 		3.601
1		10/19/12		67.97 		3.594
1		10/26/12		69.16 		3.506
1		11/02/12		55.32 		3.386
1		11/09/12		61.24 		3.314
1		11/16/12		52.92 		3.252
1		11/23/12		56.23 		3.211
1		11/30/12		52.34 		3.207
1		12/07/12		64.12 		3.198
1		12/14/12		48.89 		3.168
1		12/21/12		56.02 		3.098
1		12/28/12		44.79 		3.108
1		01/04/13		41.73 		3.161
1		01/11/13		50.32 		3.243
1		01/18/13		42.92 		3.237
1		01/25/13		53.37 		3.227
1		02/01/13		56.46 		3.244
1		02/08/13		56.67 		3.417
1		02/15/13		49.66 		3.475
1		02/22/13		50.25 		3.597
1		03/01/13		48.01 		3.711
1		03/08/13		50.81 		3.658
1		03/15/13		55.33 		3.622
1		03/22/13		63.42 		3.611
1		03/29/13		51.00 		3.606
1		04/05/13		58.59 		3.583
1		04/12/13		62.72 		3.529
